host_name,planet_name,disposition,orbital_period_days,semi_major_axis_au,eccentricity,inclination_deg,planet_radius_re,planet_radius_rj,planet_mass_me,planet_mass_mj,planet_density_gcm3,transit_depth_ppm,tansit_duration_hrs,impact_parameter,a_over_rstar,radius_ratio,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_density_cgs,stellar_luminosity_lsun,stellar_age_gyr,stellar__rot_period_days,planet_insolation_earth,planet_eq_temp_k,ra_deg,dec_deg,pm_ra_masyr,pm_dec_masyr,parallax_mas,distance_pc,snr_model,snr_single_event,snr_multi_event,depth_source_unit,source_catalog
K04332.01,,FALSE POSITIVE,2.66588544,0.0341,0.0,86.06,0.98,,,,,167.0,5.004,0.276,4.011,0.011586,4965.0,4.536,-0.06,0.771,0.744,0.1717,,,,278.03,1041.0,291.98572,45.211441,,,,,17.2,4.7198358,12.696019,167.0,kepler
K04333.01,,CANDIDATE,309.25581,0.9158,0.0,89.95,2.18,,,,,421.4,10.72,0.2875,215.3,0.018899,6060.0,4.419,0.0,1.057,1.067,1.97511,,,,1.61,287.0,291.7005,37.843731,,,,,9.9,,,421.4,kepler
K04334.01,,CANDIDATE,2.44232399,0.0319,0.0,88.15,1.1,,,,,229.0,1.921,0.303,9.42,0.013601,4849.0,4.561,-0.08,0.738,0.723,2.64797,,,,264.82,1029.0,291.51819,47.139301,,,,,14.1,3.284608,12.627894,229.0,kepler
K04335.01,,CONFIRMED,7.61758198,0.0772,0.0,89.17,1.0,,,,,85.4,3.545,0.234,16.12,0.008523,6202.0,4.401,-0.12,1.072,1.05,1.36446,,,,255.32,1020.0,291.40781,48.017891,,,,,13.4,4.159087,11.84842,85.4,kepler
K04336.01,,FALSE POSITIVE,41.477908,0.2491,0.0,88.81,1.09,,,,,29.9,10.45,0.5122,26.2,0.005186,6935.0,3.95,-0.62,1.918,1.197,0.19847,,,,122.73,849.0,289.75626,39.57645,,,,,9.6,,,29.9,kepler
K04399.01,,CANDIDATE,42.1003351,0.2298,0.0,89.67,1.42,,,,,214.0,1.0834,0.88,150.7,0.015845,5595.0,4.57,-0.14,0.82,0.917,36.55247,,,,11.17,466.0,282.12888,44.303162,,,,,13.9,4.2018538,13.519419,214.0,kepler
K04400.01,,CONFIRMED,2.20923119,0.0336,0.0,89.11,0.84,,,,,59.8,2.392,0.11,7.088,0.007076,5991.0,4.375,-0.02,1.092,1.032,1.38035,,,,1217.79,1507.0,285.51294,38.079739,,,,,14.3,3.487561,11.010214,59.8,kepler
K04401.01,,FALSE POSITIVE,260.54832,0.8213,0.0,89.95,1.35,,,,,161.6,15.52,0.378,120.4,0.011863,6412.0,4.44,-0.3,1.04,1.084,0.48651,,,,2.43,318.0,298.00357,48.56424,,,,,10.2,,,161.6,kepler
K04402.01,,FALSE POSITIVE,370.47678,1.0036,0.0,89.95,2.37,,,,,656.2,15.69,0.5386,157.1,0.024216,6050.0,4.525,-0.3,0.896,0.979,0.53445,,,,0.96,252.0,288.79703,42.1689,,,,,11.8,,,656.2,kepler
K04403.01,,CONFIRMED,5.88350251,0.0625,0.0,88.75,1.27,,,,,217.7,2.556,0.362,16.66,0.013655,5840.0,4.553,-0.24,0.849,0.942,2.52639,,,,192.09,949.0,298.00293,43.35461,,,,,11.9,3.278844,11.783633,217.7,kepler
